anio,grupo_causa,total_count,total_pop,value,lowercl,uppercl,confidence,statistic,method
2010,GC1,67909,40788453,183.800148822342,182.417809501473,185.190346240491,95%,dsr per 100000,Dobson
2011,GC1,67630,41261490,179.596950118889,178.243379693805,180.958231005841,95%,dsr per 100000,Dobson
2012,GC1,66773,41733271,173.83973136423,172.521187826301,175.16583403619,95%,dsr per 100000,Dobson
2013,GC1,70519,42202935,180.088693239436,178.759589984598,181.425210389681,95%,dsr per 100000,Dobson
2014,GC1,66539,42669500,166.515768854551,165.250760609166,167.788042100715,95%,dsr per 100000,Dobson
2015,GC1,60669,43131966,148.756505217436,147.573299967505,149.946827886619,95%,dsr per 100000,Dobson
2016,GC1,65842,43590368,158.170307986837,156.962798311241,159.384789172599,95%,dsr per 100000,Dobson
2017,GC1,63959,44044811,150.519791706658,149.354173848764,151.692237878066,95%,dsr per 100000,Dobson
2018,GC1,66201,44494502,152.637784891698,151.476094254774,153.806164235869,95%,dsr per 100000,Dobson
2019,GC1,68514,44938712,154.549032862522,153.392883485606,155.711725355595,95%,dsr per 100000,Dobson
2020,GC1,65997,45376763,145.75010419961,144.639223129166,146.867391338678,95%,dsr per 100000,Dobson
2021,GC1,74913,45808747,161.87013639781,160.711891187206,163.034649517475,95%,dsr per 100000,Dobson
2022,GC1,85008,46234830,179.091542262529,177.888232326451,180.300963988975,95%,dsr per 100000,Dobson
2023,GC1,80541,46654581,165.789981809284,164.645289154067,166.940648045298,95%,dsr per 100000,Dobson
2010,GC2,41980,40788453,113.145342218212,112.06369354828,114.234818045011,95%,dsr per 100000,Dobson
2011,GC2,42552,41261490,112.376079322683,111.308879790002,113.450949165333,95%,dsr per 100000,Dobson
2012,GC2,40796,41733271,105.638082568729,104.613536277338,106.670150056811,95%,dsr per 100000,Dobson
2013,GC2,39568,42202935,100.349283623771,99.3611301557642,101.344803295669,95%,dsr per 100000,Dobson
2014,GC2,36344,42669500,90.4265298476271,89.4976434016735,91.3626425872879,95%,dsr per 100000,Dobson
2015,GC2,34601,43131966,84.4046902527535,83.5162910351221,85.3001734907963,95%,dsr per 100000,Dobson
2016,GC2,36441,43590368,87.1085642788941,86.2152889833519,88.0087795354362,95%,dsr per 100000,Dobson
2017,GC2,33236,44044811,77.8426856874253,77.0070730531792,78.6850974873583,95%,dsr per 100000,Dobson
2018,GC2,32915,44494502,75.5949656925403,74.7796771995907,76.4169203943543,95%,dsr per 100000,Dobson
2019,GC2,34259,44938712,77.0427154909193,76.2283092797097,77.8636481858622,95%,dsr per 100000,Dobson
2020,GC2,34206,45376763,75.2188186739705,74.42307862049,76.020940584786,95%,dsr per 100000,Dobson
2021,GC2,38900,45808747,83.7193124996806,82.8885717234914,84.5562992109584,95%,dsr per 100000,Dobson
2022,GC2,39919,46234830,83.8398019749948,83.0183705272476,84.6673297036755,95%,dsr per 100000,Dobson
2023,GC2,35047,46654581,71.9583618831369,71.2058098371906,72.7168762427454,95%,dsr per 100000,Dobson
2010,GC3,24450,40788453,66.382459988232,65.5514848475682,67.2213242519867,95%,dsr per 100000,Dobson
2011,GC3,24491,41261490,65.2224018951538,64.4065746122559,66.04596797024,95%,dsr per 100000,Dobson
2012,GC3,24956,41733271,65.2306432286439,64.422364328397,66.0465171782809,95%,dsr per 100000,Dobson
2013,GC3,22310,42202935,57.2447181516208,56.4946322388465,58.0022607947517,95%,dsr per 100000,Dobson
2014,GC3,22433,42669500,56.4350222349941,55.6976233972918,57.1797314437024,95%,dsr per 100000,Dobson
2015,GC3,22861,43131966,56.3790264179385,55.6493966565735,57.1158211288973,95%,dsr per 100000,Dobson
2016,GC3,24122,43590368,58.2824357707614,57.5482544066335,59.0236347947559,95%,dsr per 100000,Dobson
2017,GC3,23479,44044811,55.6078299164724,54.8979918840932,56.3245456986028,95%,dsr per 100000,Dobson
2018,GC3,22830,44494502,52.96779424524,52.2822533355601,53.6600717467678,95%,dsr per 100000,Dobson
2019,GC3,22547,44938712,51.2107950250203,50.5439123152684,51.8842722015448,95%,dsr per 100000,Dobson
2020,GC3,20665,45376763,45.980617259933,45.3552720679653,46.6124231986334,95%,dsr per 100000,Dobson
2021,GC3,22007,45808747,47.9397536962789,47.3078265324097,48.578006292701,95%,dsr per 100000,Dobson
2022,GC3,23395,46234830,49.7365871742234,49.1005370751648,50.3788111916845,95%,dsr per 100000,Dobson
2023,GC3,21912,46654581,45.5841850375476,44.9817243124059,46.1926893746633,95%,dsr per 100000,Dobson
2010,GC4,43440,40788453,117.727481681691,116.621142149486,118.841690820261,95%,dsr per 100000,Dobson
2011,GC4,43001,41261490,114.209052120568,113.130178301352,115.295639406139,95%,dsr per 100000,Dobson
2012,GC4,43091,41733271,112.340505190835,111.280418159763,113.408163420678,95%,dsr per 100000,Dobson
2013,GC4,46692,42202935,119.195946458744,118.115383517001,120.283922119866,95%,dsr per 100000,Dobson
2014,GC4,49455,42669500,123.738594422806,122.648669000469,124.83578414176,95%,dsr per 100000,Dobson
2015,GC4,54818,43131966,134.450334637207,133.325545124359,135.582243346353,95%,dsr per 100000,Dobson
2016,GC4,61514,43590368,147.928249903502,146.760054826479,149.103423515715,95%,dsr per 100000,Dobson
2017,GC4,59516,44044811,139.939329288171,138.816080381541,141.069400309144,95%,dsr per 100000,Dobson
2018,GC4,56131,44494502,129.352203899434,128.283288429808,130.427805045087,95%,dsr per 100000,Dobson
2019,GC4,56635,44938712,127.620329140207,126.570489562105,128.676705697782,95%,dsr per 100000,Dobson
2020,GC4,50795,45376763,112.269717154604,111.294615423249,113.251231277137,95%,dsr per 100000,Dobson
2021,GC4,57735,45808747,124.963216401573,123.944944640277,125.987767681908,95%,dsr per 100000,Dobson
2022,GC4,63780,46234830,134.027218438724,132.987852579352,135.072681579834,95%,dsr per 100000,Dobson
2023,GC4,55938,46654581,114.763305151492,113.812847199461,115.719718153285,95%,dsr per 100000,Dobson
